Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Are there any exceptions to the legal age of marriage?,Is marriage under the legal age void or explicitly prohibited?,Are there penalties for authorizing or entering into child or early marriage?,Is there legislation that specifically addresses sexual harassment?,Does the legislation establish clear criminal penalties for domestic violence?,Is there a specialized court or procedure for cases of domestic violence?,Can a woman obtain a national identity card in the same way as a married man? ,Can a married woman legally confer citizenship to her children in the same way as a married man?,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Is customary law a valid source of law under the constitution?,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?"
2017,Afghanistan,AFG,South Asia,Low income,16,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,N/A
2017,Albania,ALB,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Algeria,DZA,Middle East & North Africa,Upper middle income,19,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Angola,AGO,Sub-Saharan Africa,Upper middle income,18,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,18,Yes,Yes,No,No,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Argentina,ARG,Latin America & Caribbean,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Armenia,ARM,Europe & Central Asia,Lower middle income,18,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Australia,AUS,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Austria,AUT,High income: OECD,High income,18,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,"Bahamas, The",BHS,Latin America & Caribbean,High income,18,Yes,Yes,Yes,Yes,No,Yes,N/A ,No,Yes,No,Yes,Yes,No,N/A
2017,Bahrain,BHR,Middle East & North Africa,High income,..,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,N/A
2017,Bangladesh,BGD,South Asia,Low income,18,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2017,Barbados,BRB,Latin America & Caribbean,High income,18,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,N/A
2017,Belarus,BLR,Europe & Central Asia,Upper middle income,18,Yes,Yes,No,No,No,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Belgium,BEL,High income: OECD,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Belize,BLZ,Latin America & Caribbean,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Benin,BEN,Sub-Saharan Africa,Low income,18,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,Bhutan,BTN,South Asia,Lower middle income,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Bolivia,BOL,Latin America & Caribbean,Lower middle income,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Botswana,BWA,Sub-Saharan Africa,Upper middle income,21,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2017,Brazil,BRA,Latin America & Caribbean,Upper middle income,18,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Brunei Darussalam,BRN,East Asia & Pacific,High income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,N/A
2017,Bulgaria,BGR,Europe & Central Asia,Upper middle income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Burkina Faso,BFA,Sub-Saharan Africa,Low income,20,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Burundi,BDI,Sub-Saharan Africa,Low income,21,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Cambodia,KHM,East Asia & Pacific,Low income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,21,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,N/A
2017,Canada,CAN,High income: OECD,High income,18,Yes,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Central African Republic,CAF,Sub-Saharan Africa,Low income,18,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,N/A
2017,Chad,TCD,Sub-Saharan Africa,Low income,21,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Chile,CHL,Latin America & Caribbean,High income,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,China,CHN,East Asia & Pacific,Upper middle income,20,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Colombia,COL,Latin America & Caribbean,Upper middle income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Comoros,COM,Sub-Saharan Africa,Low income,..,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,N/A
2017,"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,Low income,18,No,No,Yes,Yes,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,18,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,N/A
2017,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,21,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2017,Croatia,HRV,Europe & Central Asia,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Cyprus,CYP,Europe & Central Asia,High income,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,No,N/A
2017,Czech Republic,CZE,High income: OECD,High income,18,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A
