Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Is there legislation that specifically addresses sexual harassment?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Can a married woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can an unmarried woman legally confer citizenship to her children in the same way as a married man?,Legal Bases,Can a married woman legally confer her citizenship to a non-national spouse in the same way as a married man?,Legal Bases,Do married couples jointly share legal responsibility for financially maintaining the family’s expenses?,Legal Bases,Does a woman’s testimony carry the same evidentiary weight in court as a man's in all types of cases?,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2019,Afghanistan,AFG,South Asia,Low income,16,"Civil Code, Art. 70",Yes,"Civil Code, Art. 71",Yes,"Civil Code, Art. 71; Law on Elimination of Violence Against Women, Art. 28",Yes,"Law on Elimination of Violence Against Women, Art. 28; Civil Code, Art. 71",Yes,Law on the Prohibition of Harassment Against Women and Children,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,Yes,"Citizenship Law, Arts. 1 and 11",Yes,"Citizenship Law, Arts. 1 and 11",Yes,"Citizenship Law, Art. 18 ",No,"Civil Law, Arts. 117-130",Yes,No restrictions could be located,No,Constitution of Afghanistan,N/A,
2019,Albania,ALB,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 7",Yes,"Family Code, Art. 7",Yes,"Family Code, Art. 39",No,No applicable provisions could be located,Yes,"Criminal Code, Art. 108/a; Law on Protection from Discrimination, Arts. 3(5), 12 (2) and 17",Yes,"Criminal Code, Art. 130/a",Yes,"Law on Measures Against Violence in Family Relations, Chapter IV",Yes," Law on the Identity Document of the Albanian Citizens, Arts. 1-3",Yes,"Law on Citizenship, Arts. 7 and 11",Yes,"Law on Citizenship, Arts. 7 and 11",Yes,"Law on Albanian Citizenship, Art. 10",Yes,"Family Code, Arts. 50 and 54",Yes,No restrictions could be located,No,Constitution of Albania,N/A,No applicable provisions could be located
2019,Algeria,DZA,Middle East & North Africa,Upper middle income,19,"Code de la Famille, Art. 7",Yes,"Code de la Famille, Art. 7",Yes,"Code de la Famille, Arts. 13 et 33",No,No applicable provisions could be located,Yes,"Loi n° 15-19 du 30 décembre 2015, Art. 6 (341. Bis)",Yes,"Loi n° 15-19 du 30 décembre 2015, Arts. 2 (266. Bis- 266. bis 1) et 4 (330. Bis)",No,No applicable provisions could be located,No,"ID card application form; Décret présidentiel n° 17-143 du 18 avril 2017 fixant les modalités d'établissement de la carte nationale d'identité, sa délivrance et son renouvellement, Art. 11",Yes,"Code de la Nationalité Algérienne, Art. 6 ",Yes,"Code de la Nationalité Algérienne, Art. 6 ",Yes,"Code de la Nationalité Algérienne, Art. 9 bis ",Yes,"Code de la Famille, Art. 36",Yes,No restrictions could be located,No,Constitution de la République Algérienne Démocratique et Populaire,N/A,Constitution de la République Algérienne Démocratique et Populaire
2019,Angola,AGO,Sub-Saharan Africa,Upper middle income,18,"Family Code, Art. 24(1)",Yes,"Family Code, Art. 24(2-3)",Yes,"Family Code, Arts. 27, 28 and 65(a)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law Against Domestic Violence N. 25/11, Arts. 6 and 22-25",Yes,"Law No. 25/11, Ch. VI; Presidential Decree No. 124/13, Ch. VI",Yes,"Law No. 17/96, Art. 4; Law No. 4/09, Arts. 19 and 20",Yes,"Nationality Law No. 2/16, Art. 9; Constitution of the Republic of Angola, Art. 9(2)",Yes,"Nationality Law No. 2/16, Art. 9; Constitution of the Republic of Angola, Art. 9(2)",Yes,"Nationality Law No. 2/16, Art. 13",Yes,"Family Code 1/88, Arts. 45 and 46",Yes,No restrictions could be located,Yes,"Constitution of the Republic of Angola, Arts. 7 and 223",Yes,"Constitution of the Republic of Angola, Arts. 7 and 223"
2019,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,18,"The Marriage Act, Sec. 26(1)",Yes,"The Marriage Act, Secs. 25, 26 and Second Schedule",Yes,"The Marriage Act, Sec. 25",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Domestic Violence Act 2015, Sec. 26",N/A,No applicable provisions could be located ,Yes,"Antigua and Barbuda Constitution Order 1981, Secs. 112 and 113; The Antigua and Barbuda Citizenship Act, Sec. 3",Yes,"Antigua and Barbuda Constitution Order 1981, Secs. 112 and 113; The Antigua and Barbuda Citizenship Act, Sec. 3",Yes,"Antigua and Barbuda Constitution Order 1981, Sec. 114(1)(b); The Antigua and Barbuda Citizenship Act, Sec.3",Yes,No applicable provisions could be located,Yes,No restrictions could be located,No,Antigua and Barbuda Constitution Order 1981,N/A,No applicable provisions could be located
2019,Argentina,ARG,Latin America & Caribbean,Upper middle income,18,"Código Civil y Comercial de la Nación, Art. 403(f)",Yes,"Código Civil y Comercial de la Nación, Art. 404",Yes,"Código Civil y Comercial de la Nación, Art. 425(a)",No,No applicable provisions could be located,Yes,"Ley 26.485, Art. 5(3)",Yes,"Código Penal, Arts. 80(1), 92 y 133",Yes,"Ley 26.485, Título III, Capitulo I-II; Ley Nacional 24.417",Yes,"ID card application procedures Ley No.17.671 de Identificación Registro y Clasificación del Potencial Humano Nacional, Arts. 1 y 7",Yes,"Ley No. 346 Ley de Ciudadanía, Art. 1",Yes,"Ley No. 346 Ley de Ciudadanía, Art. 1",Yes,"Ley No. 346 Ley de Ciudadanía, Art. 2(7); ",Yes,"Ley No. 26.994 Código Civil y Comercial de la Nación, Arts. 431 y 432",Yes,No restrictions could be located,No,Constitución de la Nación Argentina,N/A,Constitución de la Nación Argentina
2019,Armenia,ARM,Europe & Central Asia,Lower middle income,18,"Family Code, Art. 10(1)",Yes,"Family Code, Art. 10(1)",Yes,"Family Code, Art. 20(2)",No,No applicable provisions could be located,Yes,"Labor Code, Art. 221(4); Law on Provision of Equal Rights and Equal Opportunities for Women and Men, Arts. 3(21) and 6(3)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Identification Cards, Art. 4",Yes,"Law on Citizenship, Art. 11",Yes,"Law on Citizenship, Art. 11",Yes,"Law on Citizenship, Art. 13",Yes,"Family Code, Art. 24(3)",Yes,No restrictions could be located,No,Constitution of the Republic of Armenia,N/A,
2019,Australia,AUS,High income: OECD,High income,18,"Marriage Act 1961, Secs. 5 and 11",Yes,"Marriage Act 1961, Secs. 12 and 13",Yes,"Marriage Act 1961, Sec. 23B(1)(e)",Yes,"Marriage Act 1961, Sec. 95",Yes,"Sex Discrimination Act 1984, Part II, Div. 3; Anti-Discrimination Act 1977, Part 2A",Yes,"Crimes (Domestic and Personal Violence) Act, Secs. 4 and 11-13",Yes,"Crimes (Domestic and Personal Violence) Act 2007, Part 10-12",N/A,No applicable provisions could be located,Yes,"Citizenship Act, Arts. 12 and 16",Yes,"Citizenship Act, Arts. 12 and 16",Yes,"Citizenship Act, Art. 22",Yes,"Family Law Act, Art. 72",Yes,No restrictions could be located,No,Commonwealth of Australia Constitution Act,N/A,No applicable provisions could be located
2019,Austria,AUT,High income: OECD,High income,18,"Marriage Act, Sec. 1(1)",Yes,"Marriage Act, Sec. 1",Yes,"Marriage Act, Sec. 22(1)",No,No applicable provisions could be located,Yes,"Equal Treatment Act, Secs. 6, 35 and 46; Federal Equal Treatment Act, Sec. 8",No,No applicable provisions could be located,Yes,"Police Act, Sec. 38(a); Second Protection Against Violence Act, Art. 1, Executive Order 382b",Yes,"Security Police Act, Art. 35a; ID card application procedures",Yes,"Citizenship Act, Arts. 7 and 7a ",Yes,"Citizenship Act, Arts. 7 and 7a ",Yes,"Citizenship Act, Art. 11a",Yes,"Civil Code, Art. 94",Yes,No restrictions could be located,No,Austrian Federal Constitutional Laws,N/A,
2019,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 10",Yes,"Family Code, Art. 10.2",Yes,"Family Code, Art. 25",No,No applicable provisions could be located,Yes,"Law on Gender Equality, Arts. 2.0.4, 2.0.5 and 4; Law on State Guarantees of Equal Rights for Women and Men, Art. 17",No,No applicable provisions could be located,Yes,"Law on Prevention of Domestic Violence, Arts. 10-12",Yes,"ID application procedures; Law on ID Cards, Arts. 1 and 4",Yes,"Constitution of the Republic of Azerbaijan, Art. 52; Law on Citizenship of the Azerbaijan Republic, Art. 1",Yes,"Constitution of the Republic of Azerbaijan, Art. 52; Law on Citizenship of the Azerbaijan Republic, Art. 1",Yes,"Law on Citizenship, Arts. 7 and 14",Yes,"Family Code, Art. 29.1",Yes,No restrictions could be located,No,"Constitution of the Republic of Azerbaijan, Art. 148",N/A,
