Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2020,Afghanistan,AFG,South Asia,Low income,16,"Civil Code, Art. 70",Yes,"Civil Code, Art. 71",Yes,"Civil Code, Art. 71; Law on Elimination of Violence Against Women, Art. 28",Yes,"Law on Elimination of Violence Against Women, Art. 28; Civil Code, Art. 71",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,No,Constitution of Afghanistan,N/A,
2020,Albania,ALB,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 7",Yes,"Family Code, Art. 7",Yes,"Family Code, Art. 39",No,No applicable provisions could be located,Yes,"Criminal Code, Art. 130/a",Yes,"Law on Measures Against Violence in Family Relations, Chapter IV",Yes," Law on Identity Document of Albanian Citizens, Arts. 1-3",No,Constitution of Albania,N/A,
2020,Algeria,DZA,Middle East & North Africa,Lower middle income,19,"Code de la Famille, Art. 7",Yes,"Code de la Famille, Art. 7",Yes,"Code de la Famille, Arts. 13 et 33",No,No applicable provisions could be located,Yes,"Loi No. 15-19 du 30 décembre 2015, Arts. 2 (266. Bis- 266. bis 1) et 4 (330. Bis)",No,No applicable provisions could be located,No,"ID card application form; Décret présidentiel n° 17-143 du 18 avril 2017 fixant les modalités d'établissement de la carte nationale d'identité, sa délivrance et son renouvellement, Art. 11",No,Constitution de la République Algérienne Démocratique et Populaire,N/A,
2020,Angola,AGO,Sub-Saharan Africa,Lower middle income,18,"Family Code, Art. 24(1)",Yes,"Family Code, Art. 24(2-3)",Yes,"Family Code, Arts. 27 and 65(a)",No,No applicable provisions could be located,Yes,"Law Against Domestic Violence No. 25/11, Arts. 6 and 22-25",Yes,"Law Against Domestic Violence No. 25/11, Ch. VI; Presidential Decree No. 124/13, Ch. VI",Yes,"Law No. 17/96, Art. 4; Law No. 4/09, Arts. 3, 19 and 20 (amended by Law No. 20/17)",Yes,"Constitution of the Republic of Angola, Arts. 7 and 223",Yes,"Constitution of the Republic of Angola, Arts. 7 and 223"
2020,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,18,"The Marriage Amendment Act, Secs. 3 and 4",No,No applicable provisions could be located,Yes,"The Marriage Act, Sec. 25; The Marriage Amendment Act, Secs. 3 and 4",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Domestic Violence Act 2015, Sec. 26",N/A,No applicable provisions could be located ,No,Antigua and Barbuda Constitution Order 1981,N/A,
2020,Argentina,ARG,Latin America & Caribbean,Upper middle income,18,"Código Civil y Comercial de la Nación, Art. 403(f)",Yes,"Código Civil y Comercial de la Nación, Art. 404",Yes,"Código Civil y Comercial de la Nación, Art. 425(a)",No,No applicable provisions could be located,Yes,"Código Penal, Arts. 80(1), 92 y 133",Yes,"Ley No. 26.485, Título III, Capitulo I-II; Ley Nacional 24.417",Yes,"Ley No.17.671 de Identificación Registro y Clasificación del Potencial Humano Nacional, Arts. 1 y 7; ID card application procedures",No,Constitución de la Nación Argentina,N/A,
2020,Armenia,ARM,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 10(1)",Yes,"Family Code, Art. 10(1)",Yes,"Family Code, Art. 20(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Identification Cards, Arts. 3 and 4",No,Constitution of the Republic of Armenia,N/A,
2020,Australia,AUS,High income: OECD,High income,18,"Marriage Act 1961, Secs. 5 and 11",Yes,"Marriage Act 1961, Secs. 12 and 13",Yes,"Marriage Act 1961, Sec. 23B(1)(e)",Yes,"Marriage Act 1961, Sec. 95",Yes,"Crimes (Domestic and Personal Violence) Act, Secs. 4 and 11-13",Yes,"Crimes (Domestic and Personal Violence) Act 2007, Part 10-12",N/A,No applicable provisions could be located,No,Commonwealth of Australia Constitution Act,N/A,
2020,Austria,AUT,High income: OECD,High income,18,"Marriage Act, Sec. 1(1)",Yes,"Marriage Act, Sec. 1(2)",Yes,"Marriage Act, Sec. 22(1)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Police Act, Sec. 38(a); Second Protection Against Violence Act, Art. 1; Executive Order No. 79/1896, Sec. 382b",Yes,"Security Police Act, Art. 35a; ID card application procedures",No,Austrian Federal Constitutional Laws,N/A,
2020,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 10.1",Yes,"Family Code, Art. 10.2",Yes,"Family Code, Art. 25",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Prevention of Domestic Violence, Arts. 10-12",Yes,"Law on ID Cards, Arts. 1 and 4; ID application procedures",No,"Constitution of the Republic of Azerbaijan, Art. 148",N/A,
