Economy,Economy Code,ISO Code,Region,Income Group,Report Year,ASSETS SCORE,Do men and women have equal ownership rights to immovable property?,Score,Legal Basis,Do sons and daughters have equal rights to inherit assets from their parents?,Score,Legal Basis,Do male and female surviving spouses have equal rights to inherit assets?,Score,Legal Basis,Does the law grant spouses equal administrative authority over assets during marriage?,Score,Legal Basis,Does the law provide for the valuation of nonmonetary contributions?,Score,Legal Basis
Afghanistan,AFG,AFG,South Asia,Low income,1971,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1972,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1973,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1974,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1975,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1976,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1977,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located,No,0,No applicable provisions could be located,Yes,1,No restrictions could be located,No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1978,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1979,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
Afghanistan,AFG,AFG,South Asia,Low income,1980,40,Yes,1,"Constitution of Afghanistan, Art. 22; Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,"Civil Code of Afghanistan, Arts. 2008 and 2019",No,0,"Civil Code of Afghanistan, Art. 2007",Yes,1,"Civil Code of Afghanistan, Arts. 1(2) and 1900",No,0,No applicable provisions could be located
